Time Slot; Network Type; Latitude; Longitude; Signal Strength; Round Trip Delay
1572252794029; WIFI; 63.4182725; 10.40051258; 99; 179
1572252795039; WIFI; 63.4182725; 10.40051258; 99; 30
1572252796058; WIFI; 63.4182725; 10.40051258; 99; 209
1572252797071; WIFI; 63.4182725; 10.40051258; 99; 83
1572252798091; WIFI; 63.4182725; 10.40051258; 99; 225
1572252799102; WIFI; 63.4182725; 10.40051258; 99; 21
1572252800122; WIFI; 63.4182725; 10.40051258; 99; 39
1572252801140; WIFI; 63.4182725; 10.40051258; 99; 35
1572252802162; WIFI; 63.4182725; 10.40051258; 99; 44
1572252803180; WIFI; 63.4182725; 10.40051258; 99; 47
1572252804198; WIFI; 63.4182725; 10.40051258; 99; 52
1572252805218; WIFI; 63.4182725; 10.40051258; 99; 62
1572252806235; WIFI; 63.4182725; 10.40051258; 99; 66
1572252807254; WIFI; 63.4182725; 10.40051258; 99; 485
1572252808273; WIFI; 63.4182725; 10.40051258; 99; 41
1572252809295; WIFI; 63.4182725; 10.40051258; 99; 80
1572252810314; WIFI; 63.4182725; 10.40051258; 99; 42
1572252811334; WIFI; 63.4182725; 10.40051258; 99; 50
1572252812353; WIFI; 63.4182725; 10.40051258; 99; 105
1572252813373; WIFI; 63.4182725; 10.40051258; 99; 100
1572252814393; WIFI; 63.4182725; 10.40051258; 99; 101
1572252815411; WIFI; 63.4182725; 10.40051258; 99; 103
1572252816431; WIFI; 63.4182725; 10.40051258; 99; 117
1572252817451; WIFI; 63.4182725; 10.40051258; 99; 113
1572252818469; WIFI; 63.4182725; 10.40051258; 99; 49
1572252819491; WIFI; 63.4182725; 10.40051258; 99; 49
1572252820513; WIFI; 63.4182725; 10.40051258; 99; 54
1572252821533; WIFI; 63.4182725; 10.40051258; 99; 57
1572252822552; WIFI; 63.4182725; 10.40051258; 99; 135
1572252823572; WIFI; 63.4182725; 10.40051258; 99; 137
1572252824590; WIFI; 63.4182725; 10.40051258; 99; 142
1572252825610; WIFI; 63.4182725; 10.40051258; 99; 147
1572252826631; WIFI; 63.4182725; 10.40051258; 99; 66
1572252827652; WIFI; 63.4182725; 10.40051258; 99; 66
1572252828670; WIFI; 63.4182725; 10.40051258; 99; 687
1572252829689; WIFI; 63.4182725; 10.40051258; 99; 163
1572252830711; WIFI; 63.4182725; 10.40051258; 99; 45
1572252831730; WIFI; 63.4182725; 10.40051258; 99; 37
1572252832750; WIFI; 63.4182725; 10.40051258; 99; 38
1572252833770; WIFI; 63.4182725; 10.40051258; 99; 179
1572252834789; WIFI; 63.4182725; 10.40051258; 99; 185
1572252835807; WIFI; 63.4182725; 10.40051258; 99; 191
1572252836817; WIFI; 63.4182725; 10.40051258; 99; 37
1572252837839; WIFI; 63.4182725; 10.40051258; 99; 212
1572252838860; WIFI; 63.4182725; 10.40051258; 99; 212
1572252839878; WIFI; 63.4182725; 10.40051258; 99; 34
1572252840894; WIFI; 63.4182725; 10.40051258; 99; 32
1572252841913; WIFI; 63.4182725; 10.40051258; 99; 41
1572252842931; WIFI; 63.4182725; 10.40051258; 99; 238
1572252843949; WIFI; 63.4182725; 10.40051258; 99; 547
1572252844972; WIFI; 63.4182725; 10.40051258; 99; 42
1572252845989; WIFI; 63.4182725; 10.40051258; 99; 43
1572252847007; WIFI; 63.4182725; 10.40051258; 99; 50
1572252848024; WIFI; 63.4182725; 10.40051258; 99; 55
1572252849041; WIFI; 63.4182725; 10.40051258; 99; 64
1572252850059; WIFI; 63.4182725; 10.40051258; 99; 60
1572252850059; WIFI; 63.4182725; 10.40051258; 99; 60
1572252851078; WIFI; 63.4182725; 10.40051258; 99; 36
1572252852097; WIFI; 63.4182725; 10.40051258; 99; 38
1572252853114; WIFI; 63.4182725; 10.40051258; 99; 298
1572252854131; WIFI; 63.4182725; 10.40051258; 99; 92
1572252855148; WIFI; 63.4182725; 10.40051258; 99; 25
1572252856164; WIFI; 63.4182725; 10.40051258; 99; 104
1572252857182; WIFI; 63.4182725; 10.40051258; 99; 120
1572252858201; WIFI; 63.4182725; 10.40051258; 99; 137
1572252859218; WIFI; 63.4182725; 10.40051258; 99; 35
1572252860236; WIFI; 63.4182725; 10.40051258; 99; 33
1572252861252; WIFI; 63.4182725; 10.40051258; 99; 48
1572252862270; WIFI; 63.4182725; 10.40051258; 99; 35
1572252863287; WIFI; 63.4182725; 10.40051258; 99; 38
1572252864303; WIFI; 63.4182725; 10.40051258; 99; 94
1572252865323; WIFI; 63.4182725; 10.40051258; 99; 165
1572252866342; WIFI; 63.4182725; 10.40051258; 99; 170
1572252867358; WIFI; 63.4182725; 10.40051258; 99; 172
1572252868374; WIFI; 63.4182725; 10.40051258; 99; 40
1572252869390; WIFI; 63.4182725; 10.40051258; 99; 202
1572252870406; WIFI; 63.4182725; 10.40051258; 99; 40
1572252871426; WIFI; 63.4182725; 10.40051258; 99; 29
1572252872442; WIFI; 63.4182725; 10.40051258; 99; 211
1572252873460; WIFI; 63.4182725; 10.40051258; 99; 226
1572252874475; WIFI; 63.4182725; 10.40051258; 99; 166
1572252875486; WIFI; 63.4182725; 10.40051258; 99; 29
1572252876501; WIFI; 63.4182725; 10.40051258; 99; 246
1572252877510; WIFI; 63.4182725; 10.40051258; 99; 34
1572252878530; WIFI; 63.4182725; 10.40051258; 99; 51
1572252879549; WIFI; 63.4182725; 10.40051258; 99; 68
1572252880567; WIFI; 63.4182725; 10.40051258; 99; 38
1572252881585; WIFI; 63.4182725; 10.40051258; 99; 37
1572252882599; WIFI; 63.41798075; 10.4015684; 99; 85
1572252883619; WIFI; 63.417799; 10.40132367; 99; 95
1572252884633; WIFI; 63.4178794; 10.40134973; 99; 21
1572252885648; WIFI; 63.41802546; 10.401536; 99; 112
1572252886663; WIFI; 63.41797281; 10.40155919; 99; 127
1572252887681; WIFI; 63.41798402; 10.40151431; 99; 84
1572252888696; WIFI; 63.41804433; 10.40145929; 99; 154
